category,type,metal,stone,weight,size,brand,price
ring,statement,rose gold,emerald,39.20485901336569,9.177951105625409,designer,8221.728756642031
ring,cocktail,silver,pearl,30.45463557541723,9.956508044572319,vintage,48510.537682018716
ring,statement,platinum,ruby,9.986820982818257,7.1296957007167645,vintage,21881.27842278473
ring,engagement,silver,emerald,20.59318761404752,5.326659642495308,modern,18634.91124303774
ring,cocktail,white gold,ruby,30.02831387424008,5.325152889039984,classic,34175.2231600951
ring,engagement,platinum,ruby,47.16788602855779,8.943017524918774,designer,15578.381574081848
ring,eternity,platinum,ruby,12.810247835274573,9.782844631778207,modern,25011.257050507873
ring,cocktail,gold,ruby,9.929568301615054,10.287529872223567,designer,28601.16622708958
ring,eternity,platinum,sapphire,23.037952535118517,7.766051652012701,modern,30096.048951148714
ring,statement,gold,pearl,20.045187194784617,6.899443222417272,vintage,29544.18270036049
ring,engagement,white gold,ruby,27.592108074754176,5.986469574823339,vintage,4190.256862148655
ring,engagement,gold,ruby,15.380920561183867,5.098558759005591,classic,35489.43852045705
ring,cocktail,silver,diamond,30.692038764269558,11.484106149593444,designer,6235.518446493921
ring,engagement,white gold,sapphire,5.675095708030154,7.595727765387864,vintage,36615.505827734174
ring,cocktail,silver,diamond,19.763416862935703,11.801984667723726,classic,38158.859906536425
ring,wedding,silver,diamond,35.82248159460358,5.776235745682819,modern,5840.62563616857
ring,engagement,white gold,pearl,25.919963867070436,11.352965317482651,vintage,27222.13401943282
ring,eternity,white gold,pearl,4.772015581610857,7.028260170396376,modern,46520.033790957365
ring,eternity,gold,pearl,43.701568919198166,10.625704538293801,modern,21117.242419583126
ring,cocktail,platinum,ruby,18.45859406577177,11.347799090820278,luxury,11782.790545826114
ring,engagement,white gold,pearl,43.175798579560826,5.048664913718335,classic,21161.84465586456
ring,eternity,gold,emerald,14.201204356127553,6.708878655734419,classic,16498.545135027383
ring,engagement,white gold,diamond,4.1797201083400966,6.777407897540413,modern,12963.223643355526
ring,wedding,silver,diamond,8.256259567716594,11.984183395342594,classic,30673.434532004892
ring,wedding,white gold,pearl,17.908491153307466,9.440459412909547,designer,26781.26187419825
ring,wedding,white gold,emerald,19.11306834700882,6.6951195679419815,vintage,31799.138614382184
ring,cocktail,gold,diamond,16.718223183615056,6.3056295727989795,vintage,42988.76083827913
ring,statement,silver,ruby,1.8128036174649513,8.584651408094967,classic,17758.966370940605
ring,statement,gold,diamond,20.481029033288593,8.62425945369236,luxury,33946.6607934444
ring,engagement,gold,sapphire,46.30998729564958,11.141375473666868,classic,11813.226078966334
ring,wedding,gold,ruby,26.952878339444318,6.692966036303162,modern,28135.525953551332
ring,cocktail,gold,diamond,18.111269156020384,10.081689752091677,classic,42888.05244796558
ring,engagement,white gold,emerald,46.84611471682643,10.497384557797606,modern,29243.987761104505
ring,engagement,silver,diamond,1.2480176084647157,6.125656359922491,designer,24537.880802518215
ring,cocktail,rose gold,diamond,9.620337381189923,5.126527545308646,vintage,9351.724106455777
ring,cocktail,gold,diamond,27.584471297190067,8.56169853787132,vintage,24593.736571493027
ring,cocktail,silver,sapphire,18.153841977039107,9.515723534213954,luxury,10164.527896003203
ring,eternity,silver,ruby,2.191482355141238,9.518306071350175,luxury,49730.250284468384
ring,eternity,rose gold,emerald,37.638219920973285,11.671502929167673,vintage,21695.11534170706
ring,eternity,silver,ruby,42.79746331790064,7.061142244487099,vintage,9950.096041942128
ring,engagement,silver,sapphire,28.283261860459156,11.553083419125468,designer,46535.833323136176
ring,wedding,platinum,emerald,15.469238832527997,7.257855349670203,luxury,7262.7559063804265
ring,eternity,platinum,sapphire,40.695556339279854,11.069506230060725,vintage,4538.911929811898
ring,engagement,white gold,pearl,10.51942372209007,5.4965864189994935,modern,44387.54887305767
ring,statement,platinum,sapphire,22.485232027886262,9.704182947066396,classic,23547.10189755678
ring,eternity,platinum,sapphire,2.494512247013422,5.261437321244501,classic,6789.495376268297
ring,engagement,rose gold,ruby,11.575230347345316,9.360233330733003,modern,42180.14221309308
ring,statement,silver,ruby,7.50452568990552,11.786758069799113,designer,16486.345410591675
ring,engagement,silver,ruby,37.458089506956654,6.756023691426629,designer,48151.09652655729
ring,engagement,white gold,pearl,3.8514861799137368,11.406496093385364,designer,12369.47427829146
ring,engagement,rose gold,pearl,32.27525909832417,8.616873801985967,vintage,30780.176938600434
ring,cocktail,white gold,sapphire,18.44266125391182,10.304922773250585,luxury,17423.04350246188
ring,statement,rose gold,diamond,16.259252160173418,11.856573700350559,vintage,23971.604539822598
ring,wedding,platinum,pearl,24.200116768247717,6.212413089370106,vintage,20225.984352669984
ring,wedding,rose gold,ruby,3.219896478830181,7.622288302385298,designer,46705.097249934406
ring,engagement,rose gold,pearl,8.983786926990055,5.493981231803009,designer,1812.3098718102797
ring,cocktail,white gold,ruby,20.020326384119574,9.503017529096471,luxury,40654.60674843215
ring,cocktail,rose gold,ruby,19.919029252237937,11.7283339467674,designer,10730.875813898896
ring,eternity,rose gold,ruby,5.9381220674939055,5.127552779560848,classic,31103.567274725698
ring,engagement,platinum,pearl,42.398890237503274,5.162903550150781,designer,13404.379147677204
ring,statement,platinum,pearl,18.06849361820667,11.55653706298995,modern,21188.32856992115
ring,eternity,gold,ruby,9.694537645206418,10.254303261486008,classic,49530.00452903333
ring,statement,platinum,diamond,39.04423507635784,7.385624781771125,vintage,12310.54455962184
ring,eternity,gold,emerald,6.053069572960698,11.317870346756965,modern,41409.64457233321
ring,eternity,silver,emerald,20.07088225797399,5.075863560362088,luxury,42433.585632731694
ring,engagement,white gold,ruby,29.09845651804102,9.422860485188595,vintage,5039.355289294814
ring,statement,gold,ruby,33.953404347774885,10.26662170606376,luxury,6116.497799863677
ring,eternity,platinum,sapphire,3.82037924081557,8.846702176266149,vintage,36983.260061154935
